wavelength,channel_1
1260.0,-29.9311
1260.01,-29.9586
1260.02,-30.0733
1260.03,-30.4234
1260.04,-30.5643
1260.05,-30.4429
1260.06,-30.4746
1260.07,-30.7069
1260.08,-30.8821
1260.09,-30.817
1260.1,-31.2995
1260.11,-31.4208
1260.12,-31.3083
1260.13,-31.2592
1260.14,-31.3935
1260.15,-31.5317
1260.16,-31.734
1260.17,-31.7874
1260.18,-32.0886
1260.19,-32.0941
1260.2,-32.1222
1260.21,-32.2158
1260.22,-32.2535
1260.23,-32.354
1260.24,-32.5218
1260.25,-32.5706
1260.26,-32.7107
1260.27,-32.8038
1260.28,-32.9061
1260.29,-32.8396
1260.3,-32.8168
1260.31,-32.9991
1260.32,-33.0681
1260.33,-33.1363
1260.34,-33.2923
1260.35,-33.5466
1260.36,-33.4573
1260.37,-33.3088
1260.38,-33.5039
1260.39,-33.7223
1260.4,-33.6551
1260.41,-33.7515
1260.42,-33.9759
1260.43,-34.0345
1260.44,-33.8972
1260.45,-33.9513
1260.46,-34.1984
1260.47,-34.2875
1260.48,-34.0981
1260.49,-34.0762
1260.5,-34.2018
1260.51,-34.2873
1260.52,-34.3976
1260.53,-34.5269
1260.54,-34.538
1260.55,-34.4694
1260.56,-34.4914
1260.57,-34.4294
1260.58,-34.6012
1260.59,-34.5602
1260.6,-34.475
1260.61,-34.4825
1260.62,-34.6256
1260.63,-34.8955
1260.64,-34.9855
1260.65,-34.6544
1260.66,-34.8088
1260.67,-34.8841
1260.68,-34.6871
1260.69,-34.5092
1260.7,-34.5727
1260.71,-34.6516
1260.72,-34.5377
1260.73,-34.6898
1260.74,-34.7803
1260.75,-34.6361
1260.76,-34.311
1260.77,-34.292
1260.78,-34.5262
1260.79,-34.5682
1260.8,-34.5515
1260.81,-34.6848
1260.82,-34.3799
1260.83,-34.169
1260.84,-33.957
1260.85,-33.9359
1260.86,-33.9914
1260.87,-34.0016
1260.88,-34.0403
1260.89,-34.0089
1260.9,-33.8093
1260.91,-33.869
1260.92,-33.5382
1260.93,-33.4338
1260.94,-33.4213
1260.95,-33.4714
1260.96,-33.5231
1260.97,-33.3638
1260.98,-33.3018
1260.99,-33.3348
1261.0,-33.0743
1261.01,-33.0843
1261.02,-33.1914
1261.03,-33.2716
1261.04,-33.1332
1261.05,-32.8063
1261.06,-32.8878
1261.07,-32.8688
1261.08,-32.7266
1261.09,-32.6031
1261.1,-32.6279
1261.11,-32.573
1261.12,-32.3021
1261.13,-32.1479
1261.14,-32.1628
1261.15,-32.2582
1261.16,-31.973
1261.17,-31.871
1261.18,-32.0615
1261.19,-32.0426
1261.2,-31.8639
1261.21,-31.6971
1261.22,-31.6536
1261.23,-31.7889
1261.24,-31.4582
1261.25,-31.5242
1261.26,-31.6711
1261.27,-31.7066
1261.28,-31.5211
1261.29,-31.2745
1261.3,-31.2297
1261.31,-31.4945
1261.32,-31.3117
1261.33,-31.2811
1261.34,-31.246
1261.35,-31.2212
1261.36,-31.2528
1261.37,-31.0699
1261.38,-30.9672
1261.39,-31.3423
1261.4,-31.3025
1261.41,-31.077
1261.42,-30.9734
1261.43,-30.9562
1261.44,-30.8341
1261.45,-30.7317
1261.46,-30.7823
1261.47,-30.8882
1261.48,-30.8
1261.49,-30.6573
1261.5,-30.9626
1261.51,-30.966
1261.52,-30.7303
1261.53,-30.6005
1261.54,-30.6612
1261.55,-30.6889
1261.56,-30.4956
1261.57,-30.4705
1261.58,-30.7432
1261.59,-30.642
1261.6,-30.5021
1261.61,-30.4898
1261.62,-30.4404
1261.63,-30.3588
1261.64,-30.3045
1261.65,-30.4349
1261.66,-30.3641
1261.67,-30.3043
1261.68,-30.3109
1261.69,-30.3888
1261.7,-30.3276
1261.71,-30.4061
1261.72,-30.3117
1261.73,-30.1908
1261.74,-30.1178
1261.75,-30.1972
1261.76,-30.1192
1261.77,-29.8558
1261.78,-29.8051
1261.79,-30.1236
1261.8,-29.9323
1261.81,-29.7974
1261.82,-29.8931
1261.83,-29.8602
1261.84,-29.575
1261.85,-29.5035
1261.86,-29.7339
1261.87,-29.722
1261.88,-29.3642
1261.89,-29.178
1261.9,-29.1989
1261.91,-29.1035
1261.92,-28.9318
1261.93,-29.0447
1261.94,-29.0331
1261.95,-28.8056
1261.96,-28.6681
1261.97,-28.4769
1261.98,-28.6675
1261.99,-28.4879
1262.0,-28.4211
1262.01,-28.3712
1262.02,-28.2466
1262.03,-28.3051
1262.04,-28.2834
